제목,내용,조회수,첨부파일명,첨부파일 링크,출처
"(ICT 산업 마중물, 정보통신방송사업)〈1〉중소·벤처기업, 글로벌 도약 날개 달아","과학기술정보통신부는 콘텐츠·방송산업 성장동력 확보, 정보통신기술(ICT) 산업육성·네트워크 인프라 격차 해소, 벤처 생태계 조성 등을 위해 방송통신발전기금·정보통신진흥기금을 민간에 투자하는 정보통신방송사업(비R&D)을 추진 중이다.과기정통부는 2015년부터 투명한 사업관리 체계를 확립하고 정부 재정누수를 방지하기 위해 정보통신방송사업 전담관리를 한국방송통신전파진흥원(KCA)에 위탁했다. KCA는 ICT산업진흥을 위해 우수성과 창출·확산을 위해 전력투구했다.",0,,,전자신문
알뜰폰 전파사용료 2020년 말까지 면제,과학기술정보통신부는 알뜰폰 전파사용료 면제기한을 추가 연장하는 전파법 시행령 일부개정령안이 10일 국무회의를 통과했다고 밝혔다.46개 알뜰폰 사업자 전파사용료 면제 기간이 올해 연말에서 2020년 12월 31일로 1년 연장됐다.,0,,,전자신문
"SK텔레콤-삼성중공업, 5G 자율·원격 모형선박 시험운항 성공",SK텔레콤과 삼성중공업이 거제조선소 인근 해역에서 5세대(5G) 이동통신으로 원격관제가 가능한 모형선박 시험 운항에 성공했다고 10일 밝혔다.시험 운항은 삼성중공업 거제조선소에 구축한 5G 망을 이용해 조선조 인근 해상으로부터 약 250㎞ 떨어진 대전 원격제어센터에서 동시에 이뤄졌다.,1,,,전자신문
"내년부터 초고속인터넷 사각지대 없다...KT, 보편적 역무 제공","내년 1월 1일부터 국민 누구나 전국 어디에서 초고속인터넷 서비스를 제공받을 수 있게 됐다. KT는 이용자가 신청하면 최대 100Mbps(도서지역 제외) 속도로 초고속인터넷 서비스를 제공한다.KT가 과학기술정보통신부에 초고속인터넷 보편적 역무 사업자 신청서를 제출한 것으로 확인됐다.이에 따라 3년여를 준비한 초고속인터넷 보편적 역무 제공 제도 시행이 모든 채비를 마치게 됐다. 우리나라는 미국, 스페인, 핀란드 등에 이어 세계에서 8번째로 초고속인터넷을 보편적 역무로 제공하는 국가가 됐다.",2,,,전자신문
주파수종합정보시스템 '전파누리' 서비스 추가·확대,"주파수종합정보시스템 '전파누리'가 서비스를 추가하고, 기능·디자인을 개선해 10일 재오픈한다.전파누리는 국민의 알권리 보장과 전파정보 활용 촉진을 통한 전파산업 활성화 기반조성을 위하 지난해 10월 서비스를 시작했다. 과기정통부가 보유한 전파정보를 개방·공유하고 이용자 중심의 맞춤형 서비스를 제공한다.",487,,,전자신문
"SK텔레콤-통계청, 모바일 빅데이터 기반 유동인구 지도 서비스 개시",SK텔레콤과 통계청이 모바일 빅데이터 기반 유동인구 지도 시범 서비스를 시작한다.통계청이 보유한 인구·가구 관련 공공 빅데이터와 SK텔레콤 모바일 빅데이터 분석 역량을 결합한 결과물로 보다 정확한 정책 통계를 생산하기 위한 기초자료로 활용할 계획이다.,2,,,전자신문
"[단독]2G 종료 앞둔 SK텔레콤... 번호 자원 확보, 이용자 불편 최소화",SK텔레콤 01X 번호 이용자는 010으로 번호통합 이후에도 중간 번호를 그대로 또는 첫자리만 변경해 사용 가능할 전망이다.SK텔레콤은 2세대(2G) 종료에 앞서 해당 번호 자원을 확보한 것으로 확인됐다.2G 종료 이후 01X뿐만 아니라 중간번호가 변경될 경우 발생할 이용자 혼란을 줄이기 위함이다.,1,,,전자신문
"""5G 기술투자 빛봤다""···KMW, 내년 매출 '1조클럽' 유력",케이엠더블유(KMW)가 내년 매출 1조원을 돌파한다. 대기업을 제외하고 국내 중견 통신장비기업이 '1조클럽' 신화를 쓰는 첫 사례다. 수주절벽 보릿고개를 연구개발(R&D) 투자로 극복한 역발상과 세계 최초 5세대(5G) 이동통신 상용화가 맞물려 이뤄낸 쾌거로 평가된다. 반짝 실적으로 그치지 않기 위해서는 네트워크 장비 산업에 대한 체계적 지원이 절실하다.8일 KMW(대표 김덕용)와 증권가에 따르면 KMW는 5G 통신장비 공급 계약이 급증하면서 2020년 연매출 1조원 돌파가 유력하다.,2,,,전자신문
"KT-삼성전자, 5G 체험 공간 '일상이상' 열어","KT와 삼성전자가 9일 광화문 KT스퀘어에 밀레니얼 세대를 위한 5G 체험 공간 '일상이상'을 연다. '일상이상'은 '평범한 일상에서 발견하는 특별함'이라는 주제로 꾸며진 정보통신기술(ICT) 체험 공간으로, KT 5G 서비스와 삼성전자 갤럭시 브랜드 제품을 체험할 수 있다.",0,,,전자신문
"과기정통부, '5G+ 스페트럼 플랜' 확정·발표",과학기술정보통신부가 '5G+스펙트럼 플랜'을 확정·발표했다.5G+ 스펙트럼 플랜은 세계 최고 5G 품질을 실현하고 '5G+전략산업'을 육성하기 위한 주파수 확보·공급 전략이다. '비면허 대역 주파수 공급 확대' '세계 최대 폭 5G 주파수 공급' '주파수 관리 시스템·제도 혁신'이 골자다.,3,,,전자신문
"정부, 5G연관사업에 내년 6500억원 투입","정부가 내년 5G플러스(5G+) 전략 사업 육성에 총 6500억원을 투입한다. 5G 기술 실증 테스트베드를 5개에서 12개로 2.4배 확대한다.5G 수출 기업에 무역보험을 지원하는 등 글로벌 5G 융합 시장 선점을 위해 정부 역량을 결집한다.과학기술정보통신부는 정부 9개 부처와 5세대(5G) 통신 기업, 전문가와 '제2차 범부처 민·관 합동 5G 전략위원회'(이하 전략위)를 열고 이같은 내용의 2020년 5G+전략 추진계획을 보고했다.",1,,,전자신문
"에티포스, 인공지능 V2X 플랫폼 출시","에티포스가 인공지능(AI) 기반 차량사물통신(V2X) 플랫폼을 출시했다.차량-사물간 통신 기능 제공을 넘어 AI 기능을 통해 자율주행, 교통안전을 책임지는 핵심 플랫폼으로 주목받을 전망이다.에티포스 AI V2X 플랫폼은 차량-차량(V2V 통신), 차량-인프라(V2I), 차량-보행자(V2P) 간 주고 받는 빅데이터를 활용한 머신러닝·딥러닝이 가능한 지능형 V2X 플랫폼이다.",0,,,전자신문
"KT, 5G 업링크 커버리지 20% 늘린다","KT가 5세대(5G) 이동통신 업링크 커버리지를 20% 이상 확대할 수 있는 기술을 개발했다. 5G 다중입출력(MIMO) 기반 가변형 안테나 배열 기술이다.KT는 업링크 커버리지 한계를 개선하기 위해 기존에 고정된 방식의 안테나 배열을 가변적 형태로 변경할 수 있는 가변형 안테나 배열 알고리즘을 적용했다.각각의 안테나에 수신된 신호를 무선 환경에 따라 가변적으로 결합해 원래의 신호로 복구, 결합으로 얻을 수 있는 효과를 최대화했다.",3,,,전자신문
"이노와이어리스, AI 기반 군 통신 자율운용 기술개발","이노와이어리스가 LIG넥스원, 솔빛시스템과 인공지능(AI) 기반 군 이동통신망 자율운용 기술을 개발한다. LIG넥스원이 이노와이어리스 지분 일부를 인수한 이후 첫 협업 사례다.이노와이어리스는 2022년까지 군 이동통신망의 효율적 구축과 운용을 위한 '인공지능 기반 네트워크 자율운용 기술'을 개발한다. 스몰셀 등 네트워크 분야에서 축적된 노하우를 활용한다.네트워크 자동 최적화(SON, Self Optimization Network) 기술을 접목, 환경 변화에도 네트워크 상태를 최적으로 유지하는 게 목적이다. 소프트웨어정의네트워크(SDN)를 통해 네트워크 유연성과 확장성도 확보한다는 방침이다.",0,,,전자신문
갤럭시탭S6 5G 전파인증 완료···세계 최초 5G 태블릿PC 출시 임박,"삼성전자가 '갤럭시탭S6 5G' 전파인증을 완료한 것으로 확인됐다. 5G 이동통신을 탑재한 태블릿PC를 세계 최초로 출시, 대화면을 통한 새로운 이용자경험을 제공하며 글로벌 시장을 선점하겠다는 포석이다.삼성전자는 국립전파연구원에 갤럭시탭S6 5G로 추정되는 'SM-T866N' 제품에 대한 전파인증을 신청, 승인 받았다.제품은 3.5㎓ 대역을 사용하는 5G 뉴라디오(NR) 이동통신용 무선기기로 등록됐다. 기존 갤럭시탭S6 LTE 모델명이 SM-T865N임을 고려할 때 갤럭시탭S6 5G가 유력하다.",1,,,전자신문
"EU·중국, 5G 스마트시티 구축 '박차'···한국도 속도 내야","유럽연합(EU)이 5세대(5G) 통신 스마트시티 기본 네트워크 구조와 서비스 모델 등 기술 연구 및 실증을 완료, 회원국에 핵심 기술을 제공한다. 중국, 영국, 이탈리아 등 주요국들은 지역 거점별 5G 기반 스마트시티 구축에 속도를 내고 있다.반면에 우리나라는 스마트시티 계획 핵심 인프라인 5G 초기 기획 단계인 것으로 알려졌다. 우리나라도 스마트시티 5G 적용에 속도를 내야 할 것으로 보인다.유럽연합집행위원회(EC) 5G 공공·민간파트너십(5GPPP)은 3년 동안 진행한 5G 스마트시티 기초연구 성과물 '5G 시티 오케스트레이터'(가상화 기반 서비스 플랫폼)를 발표했다.",0,,,전자신문
"IoT 오픈플랫폼 개발지원랩, 29개 중소기업에서 성과 풍성",'IoT 오픈플랫폼 개발지원랩'이 중소기업 기술 혁신 도우미로 자리매김했다.정보통신산업진흥원(NIPA)이 정보통신연구기반구축사업 일환으로 추진하는 'IoT 오픈플랫폼 개발지원랩(이하 개발지원랩)'은 중소기업 사물인터넷(IoT) 제품·서비스 개발을 지원한다. 총 29개 기업이 괄목할 만한 성과를 도출했다.,0,,,전자신문
[국제]화웨이 '5G 장비 금지' 호주에 일자리 1500개 증발 경고,화웨이가 호주를 겨냥해 화웨이 5세대(5G) 장비 금지 방침을 유지할 경우 일자리 1500개가 없어질 수 있다고 경고했다.파이낸셜타임스(FT)는 화웨이가 800개 일자리 중 100개를 감축했고 협력업체 일자리까지 최대 1500개가 없어질 수 있음을 경고했다고 2일(현지시간) 보도했다.화웨이는 호주 정부가 결정을 번복하지 않는 한 작업량이 고갈돼 일자리가 감소가 불가피하다는 입장이다.,0,,,전자신문
이기종 양자암호통신망 연동 첫발···개방형 기술 실증 성공,"민·관이 협력해 오픈 인터페이스 기반 양자암호통신 전송 통합장치 실증에 성공했다.서로 다른 양자키분배기(QKD)를 사용하는 이동통신사 등 이종 양자암호통신망 연동을 위한 첫 발을 내디딘 것이다.다만 실증 구간이 짧고 단일 QKD 장비가 적용됐다는 점 등 소규모 테스트베드 한계가 드러나면서, 정부 차원 투자 필요성도 더욱 부각됐다.",1,,,전자신문
"과기정통부, 5G 버티컬 서밋 2019 개최","과학기술정보통신부가 12월 3일과 4일 이틀 간 '5G 버티컬 서밋 2019'를 서울 플라자 호텔에서 개최한다.5G포럼, 정보통신기획평가원, 한국전자통신연구원, 한국정보통신기술협회, 기가코리아사업단, 소프트웨어정책연구소이 공동 주관하는 이번 행사는 자율주행차, 스마트공장, 디지털 헬스케어 서비스 등 '5G+ 융합서비스'의 본격 확산을 위한 글로벌 소통의 장이다.",2,,,전자신문
"최기영 장관-통신3사 CEO ""5G 투자 확대, 공동구축으로 효율 높이자""","최기영 과학기술정보통신부 장관이 통신 3사 최고경영자(CEO)에게 5세대(5G) 이동통신 네트워크 투자 확대와 중저가 5G 요금제 도입을 요청했다. 통신 3사는 5G 망 공동구축 등을 통해 내년에도 8조원 규모 투자를 이어가겠다고 화답했다.최기영 장관은 29일 박정호 SK텔레콤 사장, 황창규 KT 회장, 하현회 LG유플러스 부회장과 간담회를 가졌다.",0,,,전자신문
통신사 “매년 7조원 투자” VS 시민단체 “인터넷은 무료”,"시민단체가 '인터넷은 원래 무료'라는 논리로 통신망 이용대가 체계 논의를 가로막고 있다. 현실과 다른 논리로 '통신망 투자비 분담'이라는 사안의 본질을 흐린다는 지적이다.사단법인 오픈넷은 노웅래 더불어민주당 의원이 대표발의한 전기통신사업법 일부개정법률안 의견서(이하 의견서)와 넷플릭스 관련 SK브로드밴드 재정신청에 관한 논평(이하 논평)에서 현실과 동떨어진 주장을 쏟아냈다.오픈넷은 의견서에서 “인터넷에서 정보전달은 원칙적으로 무료”라며 “인터넷에서는 모든 단말이 다른 단말이 수·발신하는 정보를 서로 전달해준다는 약속으로 묶여 있기 때문에 망 이용대가를 징수할 주체도, 납부할 주체도 없다”고 주장했다.",0,,,전자신문
[이슈분석]5G 주파수 영토 왜 늘렸나 한국 4차 산업혁명 '승부수',"5G플러스(5G+) 스펙트럼 플랜은 세계에서 가장 넓은 총 5320㎒ 폭 5G 주파수 영토를 개척, 4차 산업혁명과 혁신성장을 위한 핵심자원을 선제 확보하는 게 목적이다.과학기술정보통신부는 5G 주파수 활용도와 자원 확보 시급성을 고려, 6㎓를 기준으로 중저대역과 고대역을 구분해 총 2640㎒폭을 추가 확보하는 단계적 전략을 수립했다. 국민이 전국 어디에서나 최고 품질 5G 서비스를 이용하도록 하고 5G 기반 융합 신산업 활성화에 대응하겠다는 포석이다.",0,,,전자신문
